# D=5 M=10000 dt=0.015 F=8  r_frac=0.0083
# noise weak_mean weak_std strong_mean strong_std
1.000000000000000082e-05 9.813001772218478739e-05 5.419344654163677604e-06 7.173763043506778576e-03 3.435280307403406842e-06
1.000000000000000048e-04 1.538641137197143392e-04 4.967284899295327936e-05 7.173062300548206996e-03 4.631769191846526936e-05
1.000000000000000021e-03 1.129430253797053746e-03 3.145928331468960770e-04 7.294880325716577088e-03 3.189006960571390097e-04
1.000000000000000021e-02 1.294171760613260780e-02 4.405606451063697956e-03 1.247384039856974658e-02 3.442428761406623929e-03
5.000000000000000278e-02 6.156707400630343635e-02 1.951543897773130171e-02 7.782932940127669508e-02 1.638485077461609984e-02
1.000000000000000056e-01 1.172036179871271122e-01 3.230994265153910167e-02 2.182841120743806707e-01 4.962402747271425080e-02
2.000000000000000111e-01 2.431214919869142399e-01 7.674309334181814157e-02 4.968702123978546714e-01 1.023649954605320295e-01
4.000000000000000222e-01 3.839420003900301248e-01 9.385136634557419977e-02 8.085142539305492093e-01 1.655310682448396520e-01
