# n_trials=40
# noise weak_t0 weak_t1 weak_t2 weak_t3 weak_t4 weak_t5 weak_t6 weak_t7 weak_t8 weak_t9 weak_t10 weak_t11 weak_t12 weak_t13 weak_t14 weak_t15 weak_t16 weak_t17 weak_t18 weak_t19 weak_t20 weak_t21 weak_t22 weak_t23 weak_t24 weak_t25 weak_t26 weak_t27 weak_t28 weak_t29 weak_t30 weak_t31 weak_t32 weak_t33 weak_t34 weak_t35 weak_t36 weak_t37 weak_t38 weak_t39 strong_t0 strong_t1 strong_t2 strong_t3 strong_t4 strong_t5 strong_t6 strong_t7 strong_t8 strong_t9 strong_t10 strong_t11 strong_t12 strong_t13 strong_t14 strong_t15 strong_t16 strong_t17 strong_t18 strong_t19 strong_t20 strong_t21 strong_t22 strong_t23 strong_t24 strong_t25 strong_t26 strong_t27 strong_t28 strong_t29 strong_t30 strong_t31 strong_t32 strong_t33 strong_t34 strong_t35 strong_t36 strong_t37 strong_t38 strong_t39
1.000000000000000082e-05 1.001889458283741687e-04 1.002551272070349936e-04 1.001015763391141381e-04 9.993984230587600094e-05 1.000431650380227352e-04 1.001584792308497725e-04 1.000393001799203583e-04 9.997817470582926835e-05 1.000539303094807360e-04 9.995358269532253156e-05 1.000720037865691079e-04 9.987149047005898267e-05 1.001683837967483364e-04 1.000241149753720675e-04 9.999991116088323699e-05 9.997980667298281905e-05 1.000416025794366112e-04 1.001316330537848969e-04 1.000348726504510303e-04 9.997939361358695474e-05 9.986075737476902969e-05 1.001782475288715880e-04 9.999897831725317737e-05 9.995485296340085037e-05 1.000715103842104379e-04 1.000050042440280506e-04 1.000425845374866535e-04 9.997242310418781868e-05 9.994077056314404936e-05 1.002225322197916249e-04 1.001092094446148767e-04 1.000288999735682831e-04 9.991771389495073550e-05 9.994792458551581210e-05 1.002840830419532279e-04 1.000080964138503687e-04 1.002074456116743348e-04 1.000890119302384642e-04 1.001481456107353602e-04 1.000052839760772475e-04 2.542473056398683747e-04 2.542574661229000726e-04 2.543290345015217268e-04 2.544546267295911168e-04 2.543641336787499062e-04 2.544236614946094005e-04 2.544043266543367303e-04 2.545319195673141741e-04 2.544732822688658479e-04 2.541926888958298482e-04 2.542225703886635672e-04 2.544617911366548195e-04 2.543072420994552324e-04 2.544379655829756537e-04 2.542481677747621778e-04 2.542552908599369902e-04 2.544953387394286869e-04 2.542699516717931833e-04 2.543472616235253436e-04 2.542919793125824387e-04 2.548766024694414318e-04 2.544475239427765193e-04 2.542997652004393475e-04 2.541695337103241437e-04 2.544831473422404147e-04 2.544720665799024518e-04 2.546535795938468507e-04 2.543577767557332787e-04 2.543502864927972887e-04 2.543247490486446705e-04 2.543094033950625598e-04 2.543318856044689920e-04 2.542859781339241532e-04 2.546290725260510058e-04 2.543153783323254496e-04 2.544535754283654637e-04 2.543773214890249299e-04 2.542414712280580331e-04 2.543707221221510489e-04 2.547224553214864386e-04
1.000000000000000048e-04 1.051769482912694403e-04 1.029122041229094185e-04 1.029941916873665381e-04 1.056426926912504716e-04 1.047779008377871406e-04 1.037638288039105007e-04 1.031921355692973897e-04 1.030479936095875292e-04 1.031641523450593686e-04 1.036177180780598306e-04 1.056667241788951693e-04 1.043070245247336599e-04 1.034129264379420054e-04 1.044967095249656197e-04 1.023244691358275347e-04 1.028252664851163280e-04 1.047555887453992707e-04 1.036166488588692955e-04 1.033458941354575085e-04 1.032819769278519174e-04 1.058749960446923730e-04 1.023123759307577069e-04 1.035768010055922845e-04 1.045661031923605689e-04 1.029371729084468994e-04 1.037786834247366379e-04 1.049242935532771051e-04 1.040035920989113775e-04 1.049676400676783429e-04 1.040939139434171297e-04 1.085622606167386747e-04 1.031224947220147443e-04 1.047923690297124639e-04 1.056004406442605736e-04 1.030753339923293156e-04 1.034780568207475032e-04 1.040260060812144672e-04 1.045484334981901871e-04 1.042169357440267180e-04 1.047347240704873960e-04 2.577282262486326045e-04 2.581332687497918605e-04 2.556481494859655736e-04 2.538652447742735323e-04 2.531571491082965672e-04 2.546292806693390386e-04 2.568575049440334555e-04 2.554003598941762833e-04 2.572542252211761278e-04 2.554356796925033265e-04 2.536321802891026034e-04 2.600214699522090749e-04 2.599036066422998927e-04 2.594999059108112137e-04 2.569406527648945902e-04 2.562706342988478863e-04 2.540927162024430338e-04 2.558788190216535765e-04 2.550027007539967631e-04 2.560213070228114108e-04 2.564510211152425719e-04 2.595758220427558677e-04 2.542891121291672701e-04 2.549148552705324754e-04 2.579844721099938958e-04 2.565854221949181156e-04 2.556346843809674508e-04 2.567002265741625947e-04 2.564690853720448288e-04 2.572842712690790704e-04 2.532549972140969545e-04 2.611628137589937877e-04 2.561268692065647636e-04 2.582018000609490266e-04 2.565853575343614757e-04 2.561226871332041347e-04 2.588955431610926350e-04 2.570294701916787591e-04 2.559536556850990508e-04 2.560182033976360827e-04
1.000000000000000021e-03 2.779136736199289549e-04 2.989495897783493814e-04 3.128766138357301474e-04 3.078902157282958582e-04 3.032788769749117223e-04 2.729083579489178851e-04 3.315451569438010926e-04 2.957561615277325335e-04 2.866927481140617057e-04 3.085036152308987347e-04 3.288405217605203166e-04 3.272992381604685852e-04 3.100698771608777888e-04 2.934053770633207798e-04 3.402111742264811011e-04 3.171762178114799664e-04 3.310845041128804441e-04 2.798698350284985225e-04 3.013340639949222072e-04 2.788534445515305918e-04 2.887922040801452076e-04 3.412018632151616378e-04 3.315566755992183285e-04 3.136440455120898321e-04 2.466733989056706902e-04 2.998722785454138577e-04 3.552038568773916404e-04 3.505751594513640559e-04 3.100864058149136815e-04 2.710224177815961509e-04 3.238155780112676220e-04 3.078884614248457376e-04 3.204595232369924053e-04 2.763349020512569738e-04 3.195598424209258447e-04 3.127261887205173905e-04 3.098631377311935405e-04 3.127801545137209069e-04 3.159555816821332666e-04 3.261369302460969863e-04 3.890878806588626577e-04 3.978133105175865321e-04 4.326321074970780394e-04 4.140204440262339365e-04 4.120441097658536066e-04 3.802531155903005077e-04 4.126396733531955394e-04 4.076088229273998396e-04 3.906141041451176169e-04 4.153231249056584559e-04 4.437041690117353855e-04 4.227501819689642054e-04 4.140699770912504478e-04 4.046403385333655674e-04 4.531366740351020720e-04 4.151755568796226510e-04 4.203332401739251294e-04 4.020177806595971433e-04 3.951280460152671874e-04 4.070037423823735312e-04 4.225192178757119902e-04 4.308807298814755927e-04 4.184575771326731492e-04 3.800182144423068270e-04 3.738974174583341650e-04 4.218133398337905516e-04 4.283535169175539778e-04 4.428749698534276049e-04 4.157677243767607150e-04 3.879734585893640270e-04 4.304840935325355785e-04 4.088001636628162800e-04 4.092332554592188320e-04 4.149260881292839587e-04 4.165809911969963874e-04 4.174146143606137721e-04 4.312238648291736079e-04 3.927322981303754961e-04 4.245700214164490000e-04 4.464588747297096728e-04
1.000000000000000021e-02 3.024890258703336228e-03 2.447424073287852476e-03 2.709647376633120448e-03 3.092646654146053407e-03 3.141325695056422940e-03 3.091620503096288372e-03 3.095137734527354714e-03 2.867442206474470328e-03 2.973359727397953574e-03 2.824913022191081948e-03 3.034664746115523382e-03 3.211467087441233909e-03 3.076784006314868276e-03 3.022295939410973853e-03 2.715978918610080332e-03 3.133664224361203642e-03 2.967773747712352909e-03 3.221025731639555554e-03 2.899391666361223873e-03 2.445624580673566497e-03 3.352524406163330788e-03 3.205055737547813244e-03 2.888747810210731508e-03 2.705869282741380725e-03 2.774556195629787614e-03 2.988730160795050224e-03 3.223915981334529637e-03 2.948617649230864547e-03 3.020492132621055252e-03 2.797112970257792548e-03 2.915662523328146297e-03 3.056648336925014281e-03 3.259279945139878596e-03 2.581044443083556177e-03 2.963920224872218165e-03 2.843679619729410149e-03 2.923652048138886649e-03 2.573509350885737866e-03 2.964497103089191662e-03 2.993642991019511163e-03 6.188161783418343401e-03 3.737660310864351909e-03 4.505680404539128513e-03 4.739971873498827031e-03 6.890640740857302549e-03 3.909467220540429472e-03 6.265184880148395169e-03 4.439956820706903590e-03 6.756202501022559592e-03 5.920789266796206742e-03 5.340819942269613152e-03 5.454946630365442584e-03 5.802184638962491585e-03 4.077092434095204269e-03 5.739395934790246512e-03 4.726627404200810581e-03 4.489836776580225994e-03 5.218582463634437521e-03 6.167868613911152778e-03 4.417504346750568411e-03 4.830293060371264671e-03 4.909025221661801781e-03 6.563972229775848904e-03 4.603826844766285668e-03 5.354193562754564449e-03 5.162673098812428293e-03 6.881767882242120077e-03 4.136385569376343184e-03 4.256216137358274226e-03 5.202998406502413672e-03 3.963374340118423420e-03 5.339512042310947532e-03 4.115971861589611674e-03 4.358596771126925506e-03 6.466583422372759737e-03 4.419240334986992633e-03 6.037921247781604175e-03 5.195801961151864587e-03 3.905561200373372076e-03 7.468613533021192970e-03
5.000000000000000278e-02 1.401506112363081619e-02 1.484483440030285803e-02 1.604786474184181910e-02 1.668113569781326869e-02 1.518867102777957112e-02 1.494999711450746387e-02 1.389429424079919977e-02 1.485519535304129050e-02 1.394111377389386196e-02 1.418560321251463412e-02 1.513561700709011200e-02 1.544000042757375825e-02 1.365420977052272250e-02 1.558353634383151387e-02 1.465145216604443398e-02 1.408382632991841271e-02 1.329756945386130658e-02 1.595164254887219968e-02 1.375938741191891357e-02 1.369848868491639962e-02 1.544149758981661590e-02 1.497878346595649807e-02 1.549144723797747647e-02 1.375382796749003572e-02 1.431834977547457449e-02 1.435194046824980231e-02 1.451434977633933587e-02 1.368402401726256587e-02 1.476566730469271865e-02 1.651482234080791506e-02 1.588878500727614398e-02 1.382738682881134475e-02 1.692217764294669247e-02 1.642558483751743389e-02 1.474578757648275368e-02 1.333648815276576062e-02 1.490028654555865771e-02 1.651366299212660149e-02 1.407510063243128280e-02 1.540661404277027594e-02 7.776225727155612610e-02 1.358876759303445370e-01 8.289650945243255686e-02 7.674358165216188521e-02 5.963533305725374906e-02 8.739362686138904546e-02 6.477843565575931717e-02 9.206365470975493015e-02 9.997791601622597890e-02 8.428879604196486131e-02 6.022004969579261568e-02 8.229942680567929603e-02 8.635466127082395971e-02 7.222572243600984543e-02 1.412663185620018080e-01 7.996505421867736163e-02 8.748052215033746970e-02 8.062804357930399013e-02 8.109289585778407805e-02 9.883384134346871741e-02 6.680045287184840919e-02 9.172345215713577360e-02 6.655597352433004210e-02 9.728496548480206063e-02 5.722463427983057876e-02 7.961425955129527998e-02 6.147418668023051092e-02 4.965153027011436071e-02 7.032006172782941100e-02 6.110702537999770229e-02 7.303960061115127855e-02 6.777378393185184979e-02 5.612470219686836043e-02 6.642013169591799715e-02 1.043493330353108955e-01 6.488825284101416846e-02 9.018623813559509261e-02 7.276074197940403387e-02 7.453562679222909548e-02 6.902308060722545102e-02
1.000000000000000056e-01 2.828502884330843029e-02 2.787542652554909905e-02 3.011896948084190340e-02 3.063217998503582964e-02 2.865433225462762565e-02 2.584963403955314182e-02 3.141783702806386774e-02 3.062396702465488771e-02 2.934679305983864395e-02 3.511206217860657341e-02 2.711501508874514244e-02 2.548566918341482052e-02 3.268762303856909135e-02 2.900686913643759496e-02 3.113468067914403406e-02 3.203460586411353145e-02 3.381994949414958429e-02 2.915890124540618245e-02 3.383362112505414881e-02 2.968934771451120155e-02 3.408211616683004541e-02 2.810997749584139699e-02 2.719262452412262582e-02 3.265749049652508229e-02 2.918266392906053441e-02 2.800758026590983649e-02 3.285985814417649586e-02 3.226263124827898066e-02 3.009386954664474562e-02 2.754143253656319429e-02 3.230269007351177502e-02 3.146708562167058187e-02 3.410689902878009244e-02 2.883281098084410424e-02 2.978147053369296568e-02 2.954545544350609121e-02 2.988321792535917829e-02 3.153372510535144835e-02 3.119074227212167635e-02 3.268974548415237019e-02 2.202988053708420380e-01 1.787743867518534202e-01 2.120434732011256540e-01 2.390312649272647028e-01 1.918105757732124217e-01 1.841861420049711595e-01 2.128261890660291533e-01 1.804829024935967197e-01 1.529645990066641204e-01 2.404850362495085936e-01 1.434505140927530009e-01 1.850890503332620340e-01 2.370998201061980670e-01 2.036742204374931975e-01 2.034786113197021018e-01 1.851926631227234499e-01 2.292028454249391001e-01 2.490808585411563303e-01 2.159247086856802000e-01 1.906254073964359086e-01 2.237582306235719465e-01 2.179494304551747585e-01 1.933997086178242952e-01 2.366385375793075840e-01 2.058726559554882873e-01 2.564555867560611158e-01 1.814316579616406522e-01 2.032308921201118335e-01 2.064131563327114283e-01 2.710936176924044205e-01 2.010831549019228837e-01 2.162620622361882960e-01 2.328827142835797059e-01 1.582741384433098697e-01 3.202320174691175025e-01 1.574837357857258036e-01 2.055644300505650168e-01 1.840152894053170840e-01 1.676145527039814009e-01 2.423542559725083145e-01
2.000000000000000111e-01 5.634427760489266884e-02 5.639282216143395865e-02 6.181402999588040542e-02 5.985566725151150042e-02 5.859844560355070148e-02 7.445304799685856234e-02 6.966119317836100278e-02 6.470991205875671615e-02 6.295992425197759201e-02 6.092658162602943711e-02 5.639957147295667633e-02 5.695809537239388681e-02 5.825033982384163200e-02 6.138931340354174954e-02 5.638446236427885339e-02 6.650551633883879099e-02 6.673566966306260229e-02 5.893144400480423983e-02 6.305705990181113829e-02 6.564933405242820430e-02 6.284584216325438122e-02 5.215387184236944945e-02 6.572867614873674491e-02 6.222084546406494304e-02 6.381198932607548557e-02 5.489323991213053422e-02 5.980093387990161047e-02 5.928307863841289493e-02 7.063821222974615843e-02 6.647704932323957039e-02 5.587638499285246807e-02 5.815354694659186086e-02 6.202510526569770394e-02 6.462263095477915886e-02 6.423127462479534533e-02 6.874267578099425846e-02 6.657983343573235790e-02 6.212746549841914601e-02 6.740598480063798859e-02 6.117485537894609693e-02 3.488688038473294339e-01 3.800598550789734964e-01 4.460291510626494538e-01 4.797083975574543691e-01 3.789166082593788398e-01 4.896303831871846590e-01 4.146579481123485733e-01 3.787318430952901216e-01 4.605873322507569312e-01 4.132983906041329258e-01 4.995987813452357207e-01 3.514137686690278484e-01 4.767811753035203215e-01 4.039399859920308478e-01 3.786177838796621620e-01 4.589234643607238429e-01 4.194619674562703460e-01 4.332780384962681697e-01 4.724616199434600317e-01 4.109377273040482059e-01 3.590016023817811930e-01 3.944815048928989598e-01 4.434123330251572015e-01 4.139530782677983689e-01 3.420879872102868813e-01 3.928445319881315734e-01 4.549500525450252963e-01 4.255790193960266588e-01 4.427507862678758954e-01 5.773636653241133176e-01 3.568313280288174516e-01 6.151764359993456832e-01 4.222694941522905365e-01 3.692279691183338319e-01 4.288238877048981545e-01 4.115635247047463863e-01 4.292273084223286461e-01 4.629936044754073832e-01 5.059661025613209073e-01 4.699788388833584518e-01
4.000000000000000222e-01 1.366665833467005375e-01 1.838324823956733189e-01 1.442109102785386898e-01 1.464709225481570232e-01 1.426808095636718510e-01 1.472220010223473374e-01 1.465267585660373628e-01 1.562185378071988817e-01 1.595003568536471350e-01 1.416021036043447756e-01 1.555864970293836524e-01 1.487517478263666038e-01 1.514526736296973597e-01 1.416170743013147326e-01 1.330693281883965629e-01 1.518349711108204492e-01 1.470568996124467509e-01 1.512631675852374735e-01 1.380045424524089515e-01 1.545293319946363098e-01 1.460615103323084363e-01 1.416017375817716639e-01 1.516049659861262444e-01 1.431715572432057104e-01 1.560035194333625197e-01 1.439660916824249681e-01 1.587288579093816543e-01 1.429752931722293174e-01 1.478558701161288014e-01 1.645905819208635934e-01 1.540905784455918748e-01 1.641142116010049501e-01 1.592809799335353771e-01 1.639365039136589930e-01 1.426508825203129105e-01 1.583407563671445362e-01 1.629573598235465326e-01 1.548059645567371745e-01 1.388048111861685530e-01 1.328885842681892249e-01 7.105788155265450046e-01 7.690059626085853361e-01 7.322074201539147120e-01 7.383337774618693450e-01 7.423060469494806579e-01 7.650021342620255682e-01 6.277475350929058173e-01 7.429015358025146121e-01 7.268846649540274818e-01 8.494134568507387684e-01 7.820446048039249032e-01 6.895266816877528848e-01 7.280292765768924257e-01 7.269785415145031404e-01 7.766166467912755111e-01 7.344756039157025462e-01 7.767253932618616297e-01 6.979448593861325989e-01 7.697984035733502761e-01 8.029822282693748203e-01 7.648323659621760751e-01 8.108474899106237199e-01 8.278708134340857505e-01 8.453151221951331618e-01 7.144271481678946545e-01 7.120788264788375788e-01 6.689995252953438998e-01 7.089010935504395094e-01 6.976406094598972540e-01 7.866750340222334881e-01 7.803433461255291359e-01 7.856698086000918346e-01 7.813199529866620141e-01 7.766569539326785288e-01 8.660808224159014523e-01 7.163499266501941465e-01 7.595381809058461275e-01 8.256546832311184581e-01 7.320759097184112996e-01 7.972245415447074546e-01
