# D=3 M=200000 dt=0.01 alpha=10 beta=14.87 delta=(-1.142857,0.063492) r_frac=0.00050 n_trials=40
# noise weak_mean weak_std strong_mean strong_std
1.000000000000000082e-05 6.741454713921854864e-06 1.194295465600623129e-06 1.288482411695228392e-04 1.664877661657710392e-06
1.000000000000000048e-04 4.259556507435840019e-05 1.483957887008639141e-05 1.312496355200721177e-04 1.466455742597750164e-05
1.000000000000000021e-03 4.167501246985392746e-04 1.652507097119371464e-04 1.200263722825545536e-03 2.215295427909717960e-04
1.000000000000000021e-02 6.171362671097380473e-03 2.350982328861771740e-03 1.016288646641605037e-01 3.674127152391285477e-03
5.000000000000000278e-02 1.087756709034980174e-01 1.449362160526544187e-02 5.288650319059116089e-01 2.263529494361151209e-02
1.000000000000000056e-01 3.669325561099660016e-01 4.005124062951694736e-02 5.090196217757458896e-01 1.330549437814582125e-02
2.000000000000000111e-01 3.481097199289929778e-01 3.593903095957068361e-02 7.492622615217408022e-01 1.795839725242528995e-02
4.000000000000000222e-01 3.065651613771050998e-01 2.555913200877695315e-02 9.222240555800524930e-01 2.442530781085785682e-02
