# noise weak_mean weak_std strong_mean strong_std
1.000000000000000021e-08 1.003594655469620652e-03 5.255849061358477603e-07 7.299631046025130410e-02 4.620931473147215401e-06
9.999999999999999547e-08 1.098493996216455765e-03 6.936004070708870760e-06 7.305307029993955703e-02 3.511048097987791585e-05
9.999999999999999547e-07 4.741935994441267253e-03 5.498483853834733141e-04 7.332195569987576267e-02 6.043015344169316199e-04
1.000000000000000082e-05 3.920374424513237144e-02 2.776285041074096679e-03 8.664594815317901155e-02 1.690717483898116673e-03
1.000000000000000048e-04 4.109248461261265084e-01 2.387006397593455231e-02 5.258949383018040047e-01 2.977664946645582761e-02
2.999999999999999737e-04 1.451716450176503193e+00 7.411625140972945280e-02 2.678780762166109941e+00 2.478800464920774826e-01
1.000000000000000021e-03 4.575533334639984240e+00 3.180320050750423122e-01 2.307254627274636860e+01 5.184842811561527043e+00
1.000000000000000021e-02 4.447153993770285751e+01 3.125506716284903952e+00 3.891014081293415643e+02 6.019854537319460519e+00
1.000000000000000056e-01 3.555351342749988248e+02 2.489992762652275715e+01 1.580428013136358231e+03 1.244878590831080203e+02
