# D=4 n_traj=6 M=10000 dt=0.015 beta=0.7 amplitude=3.0 r_frac=0.0083
# noise weak_mean weak_std strong_mean strong_std
1.000000000000000082e-05 2.001588346714201999e-04 3.155832725033679454e-07 6.014981151286262137e-03 3.866689317007141197e-06
1.000000000000000048e-04 2.075057858772118573e-04 2.737743764739983651e-06 6.089502900957702650e-03 3.300656409285162115e-05
1.000000000000000021e-03 5.817168655985703856e-04 4.396468683621340012e-05 1.316093862149880778e-02 4.551903697534590357e-04
1.000000000000000021e-02 5.744200044177963024e-03 5.669256482363380046e-04 7.158883884234976680e-01 1.104927960167211530e-02
5.000000000000000278e-02 2.923104536383237112e-02 2.802204599898012755e-03 1.730806914722861123e+01 2.070174629702957736e-01
1.000000000000000056e-01 6.818932349154589734e-02 6.866709280225737934e-03 6.534285293824243013e+01 9.620530969160094870e-01
2.000000000000000111e-01 1.883121790211631508e-01 1.497675706184989179e-02 2.207661656743459275e+02 2.688057324937835890e+00
4.000000000000000222e-01 5.907153816117413081e-01 4.081396609469953307e-02 5.712554253733864016e+02 6.490580415830383032e+00
