# n_trials=40
# noise weak_t0 weak_t1 weak_t2 weak_t3 weak_t4 weak_t5 weak_t6 weak_t7 weak_t8 weak_t9 weak_t10 weak_t11 weak_t12 weak_t13 weak_t14 weak_t15 weak_t16 weak_t17 weak_t18 weak_t19 weak_t20 weak_t21 weak_t22 weak_t23 weak_t24 weak_t25 weak_t26 weak_t27 weak_t28 weak_t29 weak_t30 weak_t31 weak_t32 weak_t33 weak_t34 weak_t35 weak_t36 weak_t37 weak_t38 weak_t39 strong_t0 strong_t1 strong_t2 strong_t3 strong_t4 strong_t5 strong_t6 strong_t7 strong_t8 strong_t9 strong_t10 strong_t11 strong_t12 strong_t13 strong_t14 strong_t15 strong_t16 strong_t17 strong_t18 strong_t19 strong_t20 strong_t21 strong_t22 strong_t23 strong_t24 strong_t25 strong_t26 strong_t27 strong_t28 strong_t29 strong_t30 strong_t31 strong_t32 strong_t33 strong_t34 strong_t35 strong_t36 strong_t37 strong_t38 strong_t39
1.000000000000000082e-05 1.114999804984049452e-04 1.002737876917948810e-04 9.629542132222930083e-05 9.978756924461731643e-05 9.335424566288018963e-05 8.826472683257018483e-05 9.718976990206845657e-05 9.518376903302497793e-05 1.066118218087357404e-04 9.026534573138856319e-05 1.023164991432657831e-04 9.442862161403060568e-05 1.079192628282946723e-04 9.380299375221565607e-05 1.004745345578893955e-04 9.166338606429890357e-05 1.040256977075829054e-04 1.069430793610429609e-04 9.713842731261959173e-05 9.842687735679980993e-05 9.975680474573954089e-05 9.374363961278874512e-05 9.111975354806008435e-05 9.787923814534766915e-05 9.957718593862739534e-05 9.257801846999478711e-05 1.054028247266896153e-04 9.091993500271208339e-05 9.389968687425788712e-05 9.631477100270013317e-05 9.619279527675351224e-05 9.525654663982564667e-05 1.000890261098511349e-04 1.055280700665136499e-04 9.437959879312131405e-05 1.024542468298686291e-04 9.298769541144745736e-05 9.561915495661015907e-05 1.012217381721654681e-04 1.044141611385616887e-04 7.167467030225028492e-03 7.170322389858040622e-03 7.169114753828809139e-03 7.173768949335699099e-03 7.180124146206975748e-03 7.171469224925074853e-03 7.174435358950530597e-03 7.180691746741133669e-03 7.172824049593673305e-03 7.177852730068662833e-03 7.173028442435779549e-03 7.170052256729902637e-03 7.175066868956623579e-03 7.170371397810498988e-03 7.174308132392159636e-03 7.176720654071479417e-03 7.173788908522401794e-03 7.169568915899070423e-03 7.180451266647380412e-03 7.168749886418051241e-03 7.172597650406574259e-03 7.175315871650475574e-03 7.172180724684066450e-03 7.176254481742199050e-03 7.175159862259312959e-03 7.175864923373849284e-03 7.172149102575701464e-03 7.179923783475671874e-03 7.176680345647509264e-03 7.170664217810479926e-03 7.172622313254614981e-03 7.177921865557067294e-03 7.169681857947572158e-03 7.168768184578085297e-03 7.176182007970060076e-03 7.173313279036513251e-03 7.170705440584386990e-03 7.175512830246642479e-03 7.176169068976267877e-03 7.172676818877116514e-03
1.000000000000000048e-04 1.516383308708717714e-04 2.478749187428018128e-04 1.649216105954941713e-04 2.002783471346990740e-04 9.814976260189966356e-05 1.509357387353665707e-04 1.511573964187275048e-04 1.400070980716105009e-04 2.284935397136239404e-04 1.604558001253450158e-04 1.458950947150053953e-04 2.267034663886064469e-04 8.249914856501224555e-05 2.047402585959360276e-04 8.061565896141093652e-05 1.290773517058154698e-04 1.559109263156726753e-04 1.326770208165406744e-04 9.266564914891643214e-05 9.204265199286530686e-05 9.807566039244897625e-05 2.138628409498263426e-04 2.379177967950053612e-04 8.883753815308488295e-05 1.127031215892518724e-04 1.528665825049532994e-04 1.250634147625473240e-04 1.741270916357737252e-04 2.246805024244771006e-04 1.432490181679079572e-04 1.310351392397750053e-04 2.330407828294261789e-04 1.932585107596283293e-04 2.278847933515628591e-04 8.586786534486741385e-05 1.462457064013573645e-04 8.532154543942685183e-05 1.833897665219170678e-04 1.171682219105884973e-04 1.432288793985264836e-04 7.183001716987436058e-03 7.172376369412982247e-03 7.266117066889669907e-03 7.195903694204062312e-03 7.164799407187659799e-03 7.167639603909632326e-03 7.187531018629681606e-03 7.195946216234104346e-03 7.098095918842293496e-03 7.193931833287614888e-03 7.147443651556551619e-03 7.182121474896255645e-03 7.157625737188010213e-03 7.139665993654087731e-03 7.199083341679816603e-03 7.125337061965191475e-03 7.240349923513427280e-03 7.151270981250768509e-03 7.176120414786190879e-03 7.194598407064267676e-03 7.191354414656698363e-03 7.066174278824140578e-03 7.106855503082853617e-03 7.238110912176828719e-03 7.187810833239956405e-03 7.110219808253415673e-03 7.198816801354796131e-03 7.182878598990557854e-03 7.151573612984193397e-03 7.258033982962971108e-03 7.237592974827925137e-03 7.172225852661117881e-03 7.131833607933181843e-03 7.050852733140058025e-03 7.234675507822561219e-03 7.163903044313862586e-03 7.143817972694156346e-03 7.176172061974186826e-03 7.191198380236295783e-03 7.189431306658779566e-03
1.000000000000000021e-03 1.672225395533418792e-03 7.814812841072133354e-04 1.014002740952971897e-03 1.120285707221876492e-03 1.200487440035517437e-03 7.351130559494362940e-04 9.818359516412052037e-04 1.620428984289604612e-03 6.574825784565175267e-04 1.683392905653416111e-03 8.466774730602947109e-04 1.280859214995289010e-03 1.094628898757434195e-03 6.325092640275363368e-04 7.516566242725694711e-04 9.278634902285545988e-04 1.750520352303360731e-03 1.633864924872326574e-03 1.127818568675852768e-03 5.949611409187334672e-04 9.591418050394247144e-04 1.004084923375327728e-03 9.507262111459121061e-04 1.236659979220251738e-03 9.835904673864811956e-04 8.729752621765583592e-04 1.191800988411367964e-03 1.526112003397058934e-03 1.359825811079284083e-03 1.170510328713418070e-03 8.914303758649818471e-04 9.865208487013759492e-04 7.171848400430154511e-04 1.483323635986327988e-03 1.616533936293144654e-03 1.130670902350906738e-03 1.150282554165995945e-03 1.183083941765311273e-03 1.457791690216504342e-03 1.196863650596366978e-03 6.990762112938660351e-03 7.409046520122928095e-03 7.374908059112551123e-03 7.179473445234845104e-03 7.275186987462918184e-03 7.083589415102642742e-03 7.983540275558913268e-03 7.619724198860487567e-03 7.208013252081871963e-03 7.110025563445058691e-03 8.025790643438631897e-03 7.486379848239715917e-03 6.843352950097617363e-03 7.096218076281882343e-03 7.003098107537506813e-03 7.592496316484796497e-03 6.990079170347926474e-03 7.333264223114122592e-03 7.248144023132066342e-03 7.928824531721820335e-03 7.310039486376684534e-03 7.752330062370358862e-03 7.498980638632523309e-03 7.126865469844394750e-03 7.221843027732265628e-03 7.806932393504380056e-03 6.909387800445285915e-03 7.188644106142899268e-03 6.823412534973863006e-03 7.187456841546224252e-03 7.086219981179402855e-03 7.183653454215609482e-03 7.016259788577509232e-03 7.274525176246022552e-03 7.233098878701975203e-03 7.933320571594664611e-03 6.914121855057337937e-03 6.904665769144377463e-03 7.371512203242484677e-03 7.270025268817858002e-03
1.000000000000000021e-02 1.484081465763826754e-02 1.320184921034260606e-02 2.634222537012972931e-02 8.159518149539485982e-03 1.244646665159989882e-02 9.996046464182686830e-03 1.320621402301657560e-02 1.076361259572786166e-02 1.968305108919081101e-02 5.024775841617182617e-03 1.506673190562032687e-02 1.132526123572501035e-02 9.909858448184939370e-03 1.265172042821847281e-02 5.977656900341138911e-03 1.070090543193319595e-02 1.564299156363301718e-02 6.128101456575310926e-03 2.232897793215209495e-02 1.556772236992508968e-02 1.158587027119942041e-02 1.918988147571771066e-02 7.952214345410492727e-03 8.721465056344610695e-03 9.377736881266285004e-03 1.097618384822577654e-02 1.426187438779341621e-02 1.957312567003152703e-02 1.750976549859513398e-02 1.374953350078661311e-02 1.450198428123519734e-02 8.650432115736543179e-03 1.012519209812009005e-02 1.320913842605393393e-02 1.497898018787979443e-02 1.281729927568067348e-02 1.672330927560480504e-02 1.086171090785268897e-02 1.406801263955950905e-02 9.870492376916333022e-03 1.296221859208699506e-02 1.615054621357267864e-02 2.228559808236628761e-02 1.243118080203681371e-02 9.732811079761502157e-03 1.367229880618937680e-02 1.501011372029333740e-02 1.067501091679256414e-02 1.241619346312517434e-02 6.032638482317567719e-03 1.394416688004741431e-02 1.709897303077249561e-02 1.328807836713012842e-02 1.447738092742078403e-02 8.289634165887216008e-03 1.180061557001008295e-02 1.086363931986070869e-02 7.993106931738476126e-03 1.608905059817004532e-02 1.609859146749594364e-02 1.306400184938889472e-02 8.150868090611614047e-03 1.341016185444609231e-02 8.733501561168985697e-03 1.111315736658989063e-02 1.098977807347384372e-02 1.513592299998336305e-02 1.070818539184619465e-02 1.745235541091562717e-02 1.325406241786390368e-02 6.673076610111382430e-03 1.112239588587322914e-02 1.018273052713244628e-02 7.836970685041142262e-03 9.031653819556824045e-03 2.015509115579870031e-02 1.345277070566327192e-02 1.325189932877499435e-02 1.175699728617355527e-02 1.216618750530034342e-02
5.000000000000000278e-02 6.220209955857507189e-02 5.893105732136711544e-02 6.365437678719602921e-02 8.064946317008288290e-02 6.492527877269167746e-02 6.038762841279193133e-02 3.023704006528111707e-02 3.550507170019510939e-02 6.233088296864261468e-02 8.872233932438865212e-02 3.906871283994686056e-02 7.205510622585006852e-02 7.952899213657453614e-02 6.197991775409469190e-02 2.821049508509513443e-02 7.332820261196494604e-02 7.390413863952767504e-02 4.425437641054515842e-02 5.806103777412658512e-02 5.370817449535017496e-02 5.888833981404669599e-02 5.465223607414547435e-02 7.640932809151235183e-02 4.183671838640300178e-02 6.590441088117519886e-02 5.083305672013772869e-02 4.715592885235367349e-02 5.543532563861464091e-02 4.261184377611803437e-02 9.241588296188764373e-02 8.194100921124884696e-02 3.269167287375416425e-02 4.503711125088383921e-02 7.288501549414511116e-02 8.339400357805075437e-02 2.816608009954980549e-02 1.053247921804771198e-01 8.060651422329440097e-02 5.140943534937211790e-02 1.034398627406784010e-01 8.297659022116468663e-02 5.226328377811882697e-02 7.566115400495017351e-02 7.697074041931958877e-02 6.805161864287856410e-02 4.642456363039965117e-02 8.513824184246539251e-02 8.268179309869559679e-02 4.125889266545768042e-02 1.009485991247921072e-01 6.967139116010259703e-02 6.478764496055176847e-02 8.626087573436301559e-02 8.209097887685486150e-02 7.342564131432381680e-02 8.062089107585257430e-02 1.100978178315383249e-01 6.388811793558514529e-02 5.667409927714147505e-02 8.478512359725591530e-02 1.022272566327068338e-01 7.668171204448211153e-02 7.576440766551653661e-02 9.357151429981486190e-02 7.558892809432535276e-02 1.006483339519121389e-01 7.851210950861127469e-02 9.455419772176641702e-02 8.079983189050686521e-02 8.296569249351216924e-02 6.566875086980544785e-02 1.095647179023987866e-01 7.779926897193696622e-02 5.832760137611441714e-02 1.089103126009665079e-01 8.070715860303755151e-02 6.854579296870866312e-02 7.402472711829531649e-02 5.391921318796306234e-02 6.971358895687458646e-02
1.000000000000000056e-01 1.549862056515446118e-01 1.346119620890485480e-01 1.349280843337230251e-01 1.225249195284519865e-01 1.176374866461771806e-01 9.215418976928997641e-02 1.451832513250627676e-01 9.460899989800762577e-02 8.331216035389044094e-02 2.021214065303683083e-01 9.062659541545312059e-02 2.018167243741271766e-01 1.016907035032244971e-01 7.937597934777822217e-02 1.705253311256120508e-01 1.078692170088800667e-01 9.024996314585688462e-02 9.164308660112256699e-02 1.485388702709793396e-01 1.048869634408227114e-01 9.967882609263653548e-02 9.512687718316167884e-02 1.136595023475183847e-01 7.916216439498564850e-02 1.039192062729506622e-01 1.018051528242453485e-01 1.254986807110796410e-01 1.443260182997281871e-01 1.444313633161007915e-01 1.373980701503197954e-01 6.557921540048070042e-02 8.783216454827617869e-02 9.490491510072777970e-02 7.641526986154534296e-02 1.560872217515814897e-01 1.319634791411949393e-01 1.278160857398034367e-01 8.604598919219851039e-02 1.482722910902816993e-01 9.893012570684668605e-02 1.769253962643687339e-01 2.646722096246384437e-01 2.188602614268241597e-01 1.542136140641549025e-01 2.849859010516127555e-01 2.451907246374045168e-01 3.280698328956946908e-01 2.029790886638358494e-01 1.538192334682060292e-01 1.829969954144758937e-01 2.183975214012320309e-01 2.214383900622000079e-01 1.701813767391095744e-01 2.027973337639948914e-01 2.569805628144991028e-01 1.600637076138187176e-01 1.745322854050606609e-01 1.565719018290405717e-01 3.158763950768784246e-01 2.035741224293968754e-01 1.598411842883305234e-01 2.359816620164216505e-01 2.781078623606842437e-01 2.718948618453632116e-01 2.583205648013013334e-01 1.592714321514436815e-01 2.591125083125024875e-01 1.680689049547700875e-01 1.940145272031136292e-01 1.877904375385430480e-01 2.250118714089513472e-01 2.934916319564120912e-01 2.412367262183603700e-01 2.121992993690159091e-01 2.423978335279173002e-01 1.275499087503623175e-01 2.196026651514444705e-01 2.103332871641963586e-01 1.878862777293214270e-01 3.061241815803247834e-01
2.000000000000000111e-01 2.167912848281879634e-01 2.318866543090666033e-01 1.739462708600826024e-01 2.362917651001960884e-01 1.713232744129997986e-01 3.606302982073819607e-01 3.354017597279301821e-01 4.584819813330006100e-01 1.936002384625030714e-01 3.090908454920067161e-01 1.568850535686623637e-01 1.909926843813183894e-01 1.836790495017198988e-01 4.086603061432788064e-01 3.637778935956023640e-01 1.892340471641797972e-01 3.114403016656533407e-01 1.501893008974576338e-01 2.225234836673378735e-01 2.539492634904975676e-01 2.560519985406606858e-01 3.330824124907598716e-01 2.622894703152634510e-01 1.240948384468778115e-01 2.660440960266526877e-01 2.490503222869884514e-01 2.247158619926035716e-01 1.376210745560332571e-01 1.848203155788017693e-01 2.112562664529153977e-01 2.383219965380566074e-01 2.169473356746826342e-01 1.986245187689308911e-01 2.006359890533683243e-01 1.175593318227083212e-01 3.374200770078888412e-01 2.410760667418917202e-01 2.726453257934334240e-01 3.237873746966632993e-01 2.100392498823252518e-01 3.637109531655381423e-01 6.665871402724369288e-01 3.042076261303890972e-01 4.676269788407646510e-01 4.033426292885561315e-01 4.892647176390504393e-01 4.811210563400268314e-01 6.780467535680372304e-01 7.439318888517884032e-01 4.553439011201551589e-01 4.956737105811019894e-01 5.474500754151794268e-01 4.688041332913870929e-01 3.948703962159121894e-01 5.976024230564551676e-01 5.158001072923328323e-01 4.477484369366756534e-01 5.170796000661594949e-01 5.044017511598679615e-01 3.151521168249839522e-01 5.036394609048503446e-01 3.914499518286658764e-01 5.587926114947081579e-01 5.500871857038555079e-01 4.778692802442808807e-01 4.695769973399896990e-01 5.814951551604642388e-01 5.329194139730641933e-01 5.523639579218740936e-01 5.698885546383106737e-01 4.170137849215196368e-01 3.258330126157847895e-01 6.315075595381369755e-01 5.272431514153689269e-01 4.247649109973295478e-01 3.900861362524918885e-01 6.580512826291076145e-01 4.497157316585688736e-01 6.336850777140861091e-01 3.710588829049326076e-01
4.000000000000000222e-01 3.862549115211176276e-01 3.792473848355336630e-01 4.190952971138355299e-01 4.361698336053083103e-01 5.084600749522606433e-01 3.263104246542452569e-01 4.048598002932855544e-01 3.156704673069859468e-01 3.831492984510420641e-01 3.184901615534511121e-01 6.245424761824971416e-01 5.014895800737635412e-01 2.447684094792738074e-01 4.009461436470935225e-01 3.973170011704125204e-01 3.521387424220610018e-01 4.014085585862122163e-01 3.704529481016149983e-01 3.246288096232399223e-01 2.842905226021215093e-01 3.249081948118174301e-01 4.453312361638386285e-01 3.775529127243635319e-01 4.303745758605768690e-01 3.264688214816823253e-01 4.209326268558943318e-01 4.532727067781609498e-01 2.793242746227013740e-01 4.172658902856469232e-01 4.578532541725560123e-01 4.380576368479904836e-01 1.872483392914858769e-01 3.226363987152739976e-01 4.236851781116439675e-01 6.012338615148232757e-01 1.881548467400011582e-01 2.578279177538631561e-01 2.926124337457127189e-01 4.084683238264030236e-01 5.247797391214139573e-01 6.605721425519491818e-01 8.560192768963065246e-01 1.000638723104722239e+00 7.213663519759666576e-01 8.394491679748042889e-01 7.577333845848670535e-01 9.421790297724892405e-01 6.595649600443875826e-01 8.983560355409565545e-01 7.519955902169965789e-01 9.289221619496084159e-01 8.617444527519980690e-01 8.617663846949181750e-01 1.161035982971935665e+00 8.219346208744664484e-01 5.357530940927192065e-01 5.661273971547569062e-01 8.305936692133288890e-01 7.828537998063072045e-01 8.668722690594865554e-01 7.168712064279259000e-01 8.526255106863409594e-01 1.092005249965737335e+00 6.043742750301037692e-01 1.167011916398020155e+00 6.763725272809221201e-01 5.310501053205535227e-01 5.541104323146889277e-01 8.255737400902539713e-01 5.546779745602022915e-01 1.068360193743251418e+00 9.138853709848144824e-01 9.729189354131866363e-01 9.000296269965045726e-01 8.805586294921553536e-01 7.728534482977666986e-01 5.766533535404358979e-01 8.238492500798288987e-01 8.955624783306689318e-01 6.557474370356332072e-01
