# D=4 n_traj=5 M=10000 dt=0.01 K=2 h=0.2 omega_min=-5.0 omega_max=5.0 r_frac=0.0083
# noise weak_mean weak_std strong_mean strong_std
1.000000000000000082e-05 1.000502203080005134e-04 1.011847184586785833e-07 2.543872074865107902e-04 1.449347153961407846e-07
1.000000000000000048e-04 1.040878905595287173e-04 1.172360140461512706e-06 2.565153362862449644e-04 1.885080320002009730e-06
1.000000000000000021e-03 3.084651967348881548e-04 2.294488002588125411e-05 4.136244207986764713e-04 1.823676764728188122e-05
1.000000000000000021e-02 2.949455920322459866e-03 2.109244629580866363e-04 5.199027592910192459e-03 9.714123391471486809e-04
5.000000000000000278e-02 1.484290212583572535e-02 9.822975994025241742e-04 7.931630890806762313e-02 1.881562454850268032e-02
1.000000000000000056e-01 3.038016499531421763e-02 2.337951628280465852e-03 2.084432974912981129e-01 3.408207853708564161e-02
2.000000000000000111e-01 6.211925511836470515e-02 4.754935329143737503e-03 4.303596520288922034e-01 5.750236785009606166e-02
4.000000000000000222e-01 1.501632079427679678e-01 9.987087668401783969e-03 7.562001436007795840e-01 5.019118591388976869e-02
