# n_trials=40
# noise weak_t0 weak_t1 weak_t2 weak_t3 weak_t4 weak_t5 weak_t6 weak_t7 weak_t8 weak_t9 weak_t10 weak_t11 weak_t12 weak_t13 weak_t14 weak_t15 weak_t16 weak_t17 weak_t18 weak_t19 weak_t20 weak_t21 weak_t22 weak_t23 weak_t24 weak_t25 weak_t26 weak_t27 weak_t28 weak_t29 weak_t30 weak_t31 weak_t32 weak_t33 weak_t34 weak_t35 weak_t36 weak_t37 weak_t38 weak_t39 strong_t0 strong_t1 strong_t2 strong_t3 strong_t4 strong_t5 strong_t6 strong_t7 strong_t8 strong_t9 strong_t10 strong_t11 strong_t12 strong_t13 strong_t14 strong_t15 strong_t16 strong_t17 strong_t18 strong_t19 strong_t20 strong_t21 strong_t22 strong_t23 strong_t24 strong_t25 strong_t26 strong_t27 strong_t28 strong_t29 strong_t30 strong_t31 strong_t32 strong_t33 strong_t34 strong_t35 strong_t36 strong_t37 strong_t38 strong_t39
1.000000000000000082e-05 2.001960217569967091e-04 2.000563216685702220e-04 1.997386664369283249e-04 2.001079257412170418e-04 1.996373685501839012e-04 2.004724444674330606e-04 2.005091999622546275e-04 2.000410109141473032e-04 2.004379462618140011e-04 1.999158186456948796e-04 2.001507304874365850e-04 1.998343294292659550e-04 2.002591485853543287e-04 1.999782832996743168e-04 2.003461036209935224e-04 1.999509792332943134e-04 2.002166598487742214e-04 2.007944167031753180e-04 2.000088895649121293e-04 1.994011471697444736e-04 2.003870096851566524e-04 2.003284838858659434e-04 1.998599743451535352e-04 2.007867362705815020e-04 2.001073170939030965e-04 2.007964395454984075e-04 2.000501000032683452e-04 1.996205567562810146e-04 2.002024940584508535e-04 1.998826582018135769e-04 2.003314772200540995e-04 2.005170670579708753e-04 2.002980361789098696e-04 2.000258310276161844e-04 2.000021080532940281e-04 2.003537723036140025e-04 2.005980310729789807e-04 2.001540239800733744e-04 2.001770277318255483e-04 1.998208300366339021e-04 6.015427166701426374e-03 6.009298977971381552e-03 6.008515974647504927e-03 6.015341874756037141e-03 6.018649113788679915e-03 6.019734067519591156e-03 6.021016692872797026e-03 6.009914681671019859e-03 6.017968462037098960e-03 6.010787984483558985e-03 6.010184084749931044e-03 6.013589873301908827e-03 6.022919491921497302e-03 6.018025539204280815e-03 6.015791460505240211e-03 6.019860710865959121e-03 6.014579048859258585e-03 6.016547062260141181e-03 6.011815315802315068e-03 6.009748921572425663e-03 6.007627088191926611e-03 6.016262368517777577e-03 6.016712187850693783e-03 6.017932205781229872e-03 6.013964690172065447e-03 6.013905395251487734e-03 6.018416499971441375e-03 6.011091278575526886e-03 6.019888934600735493e-03 6.014588073213018513e-03 6.011272635396448794e-03 6.007809053058190893e-03 6.015285849847703051e-03 6.016653770502968131e-03 6.015429910934668931e-03 6.013617133958940042e-03 6.017879652804139154e-03 6.013752794457158726e-03 6.020778044727409344e-03 6.016661978144941317e-03
1.000000000000000048e-04 2.095378775654134138e-04 2.078807232824266221e-04 2.084636844810179937e-04 2.116620374901276411e-04 2.076267001019677799e-04 2.118005252888888277e-04 2.060384242115248705e-04 2.113478237702117336e-04 2.051331877283518821e-04 2.074849275552824945e-04 2.038924317822592852e-04 2.092110866237995774e-04 2.050409639281831789e-04 2.072670590971947954e-04 2.057501514114887210e-04 1.999503634810992315e-04 2.046129412771727273e-04 2.101816420433465064e-04 2.061471765929875780e-04 2.060831803839460600e-04 2.077164014838536917e-04 2.072200035356747756e-04 2.082697480455869478e-04 2.105964010208633680e-04 2.104777397890318571e-04 2.069908246802685951e-04 2.005515549159121963e-04 2.074768003823347130e-04 2.110773552861252525e-04 2.098392137389517437e-04 2.055800163901641759e-04 2.108961369339458936e-04 2.073057046788941973e-04 2.085914032513442045e-04 2.075892289303914293e-04 2.061916954854659488e-04 2.078667026768865850e-04 2.030681225270395004e-04 2.070552365721028520e-04 2.107582366669459595e-04 6.084262659710932587e-03 6.086755923908736959e-03 6.119828371487090121e-03 6.093645698384365927e-03 6.112488902191627951e-03 5.995201774221310675e-03 6.088928250011220455e-03 6.079547048016594422e-03 6.076854677302251199e-03 6.076730385966816472e-03 6.052869229222600754e-03 6.114031462931376198e-03 6.048949626807836183e-03 6.076465495241727480e-03 6.060995846021816416e-03 6.124675559487641543e-03 6.049326956008452792e-03 6.130027260581444142e-03 6.153096955435147924e-03 6.077741471430093967e-03 6.100780271721627061e-03 6.121468247100451780e-03 6.100410228636225091e-03 6.108801754839255846e-03 6.083621991171784399e-03 6.025058908268249476e-03 6.049689713805852555e-03 6.095648237813421251e-03 6.174398441335111030e-03 6.090601508624738855e-03 6.060149806727980343e-03 6.116530158441426876e-03 6.059055128754918876e-03 6.120535799062032552e-03 6.078999917200942661e-03 6.075890424811923943e-03 6.107679274531790069e-03 6.093077507880958338e-03 6.101469643377152759e-03 6.113825519833204943e-03
1.000000000000000021e-03 5.922921299614588176e-04 5.635562361198246436e-04 5.898691050359931680e-04 5.687817618345632903e-04 6.178424303269669429e-04 6.264713502003499196e-04 5.025146452627656576e-04 5.633848060976750453e-04 6.493473779130422112e-04 5.420432505895466995e-04 6.161938410384360659e-04 5.078795917189778868e-04 5.595695567933247662e-04 5.443176894110703318e-04 5.730043403010401729e-04 5.478357388890785998e-04 5.980893879121309100e-04 5.767581511356712756e-04 6.102839319978817408e-04 5.389899392231863387e-04 6.005022736143885700e-04 6.063602059857557030e-04 5.590861306446833108e-04 5.851702194734318156e-04 5.640900633018899359e-04 6.334216395715028605e-04 6.971919498774307262e-04 6.537116481300825517e-04 5.049884854330767081e-04 6.322578498292242459e-04 6.294969120479296980e-04 4.894614133892673247e-04 5.825412730293754804e-04 6.231567361679335058e-04 5.929361228215817518e-04 5.612470084461581221e-04 5.556163084736451610e-04 6.046814244306890872e-04 5.662197975873629842e-04 5.375118999244187954e-04 1.301533257019812928e-02 1.358370128336135359e-02 1.281077616925215337e-02 1.282032380012375176e-02 1.386192968200239753e-02 1.271417844546981167e-02 1.221851560778909433e-02 1.288189658451232081e-02 1.304185141430310932e-02 1.210393384121458138e-02 1.263463810946652451e-02 1.339575973128215303e-02 1.282128820084450609e-02 1.343895106008192661e-02 1.366056991649989942e-02 1.313852481795231390e-02 1.282303673504703485e-02 1.281936762362085626e-02 1.296045713541847319e-02 1.295445532204573050e-02 1.335628880204439185e-02 1.326083264359408445e-02 1.372689871261987410e-02 1.338404143286872107e-02 1.370349973801143588e-02 1.322526993915246196e-02 1.236672263249302510e-02 1.296601969403432010e-02 1.367902680950596958e-02 1.327408128586540087e-02 1.257903217106099737e-02 1.398587937916836305e-02 1.386800196403021115e-02 1.388424615946970420e-02 1.320805299559573744e-02 1.341440276792290817e-02 1.318886081776218626e-02 1.288840427098245436e-02 1.348298514755371519e-02 1.329550944573029518e-02
1.000000000000000021e-02 4.632832160882231938e-03 7.439845867187873212e-03 6.721077736768178365e-03 5.662986478713449151e-03 5.673035654117835301e-03 6.191391002518788211e-03 5.282858388699845399e-03 5.141353048430744206e-03 5.155978625796933668e-03 5.180904543378082178e-03 5.582143616908567980e-03 5.305359388084560958e-03 6.056075042324526869e-03 6.086297481999368431e-03 5.751758626076034810e-03 4.978916877408126954e-03 5.542760947617241495e-03 5.916520365410202729e-03 6.158732003464673088e-03 5.661042001910279037e-03 5.775812596936614682e-03 5.721945526666100471e-03 6.438619492872685833e-03 5.117664743121183579e-03 5.986746773632225377e-03 5.049235667943690817e-03 6.381648927185583700e-03 5.974711678239624790e-03 5.499677863324080318e-03 5.991543455283908880e-03 6.149639789651598597e-03 5.040973740007868159e-03 5.212692233600634169e-03 6.880110949327279159e-03 5.892208280204530926e-03 5.701377775096131903e-03 5.991569167093410697e-03 4.929421056873430247e-03 5.908625596791085115e-03 6.001906595569341668e-03 7.125047444129191110e-01 7.174544664590455367e-01 7.022026291506667794e-01 7.108695819733821253e-01 7.280050455693245492e-01 7.085295493651201371e-01 7.223078610346943540e-01 7.256908079420711921e-01 7.293376243721063634e-01 7.139784719840753802e-01 6.915129292538096939e-01 7.265870834950937107e-01 7.354670736405288789e-01 7.149999734368496229e-01 7.075030969787944324e-01 7.312378386367952565e-01 7.234554029495873229e-01 7.065461977848864761e-01 7.314737103249954187e-01 7.135741334420595550e-01 7.218599165757628722e-01 7.092250644861854969e-01 7.106167841740365088e-01 7.300511852052959938e-01 7.222432100415043799e-01 7.165265469121109287e-01 7.200272692922760065e-01 7.077491395775995509e-01 6.979450903219630575e-01 7.048013348465226313e-01 7.297316812234769801e-01 7.134681585538148463e-01 7.256295258408370641e-01 7.103807092505320941e-01 6.978861323139848860e-01 7.317267033512914187e-01 6.937502233256311879e-01 7.152686443606549593e-01 7.071112450915161274e-01 7.162987499881038334e-01
5.000000000000000278e-02 3.314176648433574124e-02 3.099763627175312203e-02 2.859568379266431981e-02 3.151145415813454143e-02 3.879067741956542664e-02 2.724360090448370991e-02 3.027851120809760613e-02 2.922599161564424716e-02 3.043360075159460762e-02 2.841823098217832397e-02 3.062173807751106258e-02 3.096279311282574068e-02 3.430692337390652685e-02 3.071983684982841287e-02 2.773207177212676927e-02 2.758458920470618220e-02 2.915052458364687446e-02 2.940775876094269686e-02 3.202954628069245441e-02 2.771199528281892421e-02 2.458553963112646706e-02 2.659492761759283189e-02 2.550828074860218495e-02 3.142420913258424375e-02 2.599588908726471054e-02 2.987882826168279313e-02 2.688418869656650570e-02 2.605251910113689368e-02 2.614965825753365336e-02 2.884394761812287405e-02 2.722302524816194030e-02 2.643629481443351276e-02 3.413948829067911528e-02 3.070464772099979617e-02 2.937554924024704875e-02 3.143772932475915466e-02 2.733918873353663806e-02 2.810919899602299862e-02 2.616034567444930348e-02 2.753342747033488483e-02 1.714110806444857360e+01 1.743365393243403005e+01 1.747935474166671455e+01 1.747437059973840690e+01 1.762286180513355305e+01 1.735136001003303363e+01 1.729953509125281741e+01 1.742261185306458415e+01 1.735185048873804448e+01 1.756916075481649742e+01 1.756903435653352119e+01 1.762662031377596961e+01 1.740111087072923723e+01 1.686207657249628866e+01 1.724679774123315212e+01 1.729728197208734741e+01 1.724571666572319018e+01 1.767738320358995452e+01 1.697949284104274525e+01 1.734911864163677464e+01 1.719376462472383338e+01 1.710642936310196660e+01 1.718883269284738446e+01 1.691101707062144044e+01 1.752609262506954479e+01 1.730676925813774147e+01 1.743509245537280705e+01 1.732274990102422052e+01 1.743354683393292959e+01 1.724301383828176171e+01 1.706455866331083726e+01 1.727115341267862192e+01 1.719678572263411809e+01 1.723230286081237139e+01 1.736190582006064531e+01 1.702495428191803839e+01 1.770400708770876008e+01 1.710908538816916646e+01 1.734213846799097425e+01 1.694806500057272203e+01
1.000000000000000056e-01 6.904517189175334024e-02 7.258259459775737166e-02 7.409836653162196751e-02 6.752762813967609634e-02 6.309177479837579927e-02 6.335652083480808328e-02 7.315874249455657508e-02 7.611187821116276175e-02 7.249749974967285848e-02 7.370847602075837612e-02 7.720949007681275622e-02 6.427295425485043956e-02 6.937461450376723737e-02 7.546671860007866939e-02 8.123382597114602033e-02 6.656532699783965223e-02 6.375762993460061534e-02 7.445402623075648985e-02 7.449895263541117529e-02 5.804882374351320179e-02 6.203243226317690234e-02 5.284994018904310559e-02 6.859495157709914748e-02 6.767687945442441011e-02 6.202726074184260197e-02 7.041524009789244809e-02 6.032375834183832664e-02 7.081237177838480001e-02 5.849542795947935275e-02 5.294197501419378032e-02 6.993769400970455130e-02 6.564756355041333202e-02 7.136045225091121325e-02 7.328237574199278348e-02 6.009380786192676516e-02 6.001390752244847859e-02 6.635975149931951089e-02 8.260486839362921052e-02 6.987347864949745857e-02 7.216778654569806772e-02 6.610370554743833793e+01 6.412604794343273795e+01 6.536496935309162382e+01 6.604602398804799179e+01 6.391458069442249013e+01 6.582859887755216732e+01 6.563998491700621685e+01 6.677385193655847218e+01 6.464596294490496575e+01 6.619280847017130043e+01 6.600837314916640253e+01 6.561744220234444924e+01 6.493249121096945942e+01 6.501019593241761640e+01 6.457105345378872130e+01 6.573629334372745348e+01 6.470611329838791903e+01 6.701417874024382115e+01 6.456104495716989788e+01 6.673319097025478186e+01 6.414594277871552208e+01 6.362662048510625112e+01 6.573737185893426727e+01 6.589575979679750617e+01 6.522756275475066445e+01 6.607583079295926609e+01 6.515585623120350078e+01 6.755011445542939441e+01 6.624964863134319160e+01 6.512195816671680859e+01 6.441959659171693886e+01 6.664640851578477054e+01 6.419724780039972245e+01 6.360549704394306048e+01 6.415438587176419105e+01 6.570524605227615211e+01 6.557607090762327573e+01 6.516062859486420678e+01 6.407520361955626242e+01 6.586025464871562463e+01
2.000000000000000111e-01 1.847258066202962790e-01 2.039837894297976129e-01 1.824787646980013944e-01 1.782657847727195655e-01 1.634715358295170395e-01 1.758353217104569599e-01 1.638603036714245953e-01 1.765541310845973044e-01 2.168396519322392524e-01 1.939693351461575510e-01 1.929423712859430207e-01 1.840877329857363021e-01 1.675728471077682635e-01 1.882211809961848170e-01 1.906191700710942460e-01 2.045620360461699871e-01 1.772992196439354962e-01 1.897599440924695180e-01 1.994272419910000371e-01 2.003592828639399748e-01 1.947789622691355471e-01 2.000145323507406536e-01 2.091459190327238093e-01 1.865714461545563418e-01 2.082092641120846799e-01 1.807670394731220320e-01 1.896940078955926812e-01 1.818966106302624952e-01 1.868855351934340381e-01 1.884774393836748108e-01 1.776639300519950171e-01 2.010548693075156212e-01 1.905472786874657654e-01 1.793842576139500766e-01 1.761526751890053477e-01 2.387167262505857646e-01 1.822581393539740025e-01 1.879110153681985695e-01 1.767961097737839882e-01 1.607259507752758498e-01 2.237070463109503464e+02 2.229586591775700413e+02 2.211270359897207243e+02 2.187755972005747651e+02 2.174665853242710511e+02 2.262301331106282021e+02 2.170037544221895871e+02 2.217350165256875982e+02 2.234927388831580686e+02 2.198565549855507584e+02 2.213488663627170752e+02 2.199830126151117327e+02 2.230677840346673122e+02 2.216237064938502499e+02 2.188745978865930795e+02 2.203975771445593921e+02 2.258605114216173888e+02 2.200019986232486815e+02 2.167185926462087195e+02 2.211374385847980761e+02 2.226411562142465073e+02 2.208655763327247143e+02 2.164224763656037851e+02 2.180052897025690584e+02 2.252279174138035103e+02 2.211244091534643701e+02 2.213723076218125811e+02 2.150031876547593583e+02 2.200596368781775709e+02 2.212477861862202815e+02 2.208104550988476262e+02 2.197947433717948229e+02 2.171546175376219026e+02 2.226842540913641812e+02 2.198468410088215705e+02 2.185676147225460113e+02 2.238669412555482836e+02 2.205247145175793548e+02 2.179647608015920071e+02 2.260947333010658156e+02
4.000000000000000222e-01 5.450458041552525001e-01 5.985114652689917936e-01 6.185079710627959804e-01 5.924166431005177813e-01 5.942135217962947191e-01 5.541245020049135883e-01 6.026253419520753996e-01 5.753210437332603178e-01 5.287685939724319217e-01 5.823158687243500387e-01 6.221819665838483893e-01 5.941904870076303302e-01 5.628272986264968303e-01 5.289599643164719645e-01 6.521697469735827646e-01 6.496020102581431255e-01 6.113277816455751079e-01 5.324706443154220148e-01 6.272646859749548831e-01 6.628060047384337627e-01 6.935583863704970486e-01 6.053336828407270831e-01 6.184342976266200553e-01 5.777331673378450771e-01 5.411500102083018904e-01 5.711979949305274751e-01 5.918234785555970268e-01 6.021718072093600327e-01 5.614110516436092713e-01 5.966928698077134108e-01 6.038306375462996201e-01 5.756416113939650803e-01 5.741776043336730417e-01 4.999714706080938820e-01 5.843485471359691763e-01 5.654369256702582724e-01 6.711328985081574938e-01 6.137263101474209614e-01 6.046232609312778283e-01 5.405679054522948279e-01 5.763452034037987914e+02 5.657707524836349648e+02 5.684529413754590905e+02 5.749118023265674537e+02 5.653213815097382167e+02 5.584920999171599760e+02 5.673183548181231117e+02 5.657035771644344777e+02 5.730054653375626685e+02 5.612284695960270255e+02 5.774242927717857583e+02 5.753965035377774484e+02 5.746937824729848217e+02 5.545981228325531447e+02 5.807239184317410263e+02 5.828735234702505750e+02 5.647642388081800391e+02 5.704048398964547459e+02 5.746313400614834563e+02 5.669254614142060973e+02 5.756448296777932683e+02 5.644595042395067139e+02 5.679049521658091635e+02 5.690790950253891651e+02 5.807794417170688348e+02 5.695715795079030386e+02 5.772445804718182671e+02 5.728017690227903813e+02 5.678851392159355100e+02 5.708117232055715249e+02 5.793799225805537390e+02 5.749958363192386059e+02 5.715517791212173506e+02 5.744032910440685100e+02 5.780987053652937675e+02 5.641970181100310811e+02 5.846810449190028294e+02 5.677875942386688166e+02 5.676568898432891501e+02 5.722962475145820918e+02
