# noise weak_mean weak_std strong_mean strong_std
1.000000000000000021e-08 1.003594655485999044e-03 5.255849062413448669e-07 7.299631046025469028e-02 4.620931461505814803e-06
9.999999999999999547e-08 1.098493996076561592e-03 6.936004281418085221e-06 7.305307029996498114e-02 3.511048099822690598e-05
9.999999999999999547e-07 4.741935994046073827e-03 5.498483847991583826e-04 7.332195569986366124e-02 6.043015344690029229e-04
1.000000000000000082e-05 3.920374424515975231e-02 2.776285041164471001e-03 8.664594815290038721e-02 1.690717483841071593e-03
1.000000000000000048e-04 4.109248461262347552e-01 2.387006397586844894e-02 5.258949382995686816e-01 2.977664945840778968e-02
2.999999999999999737e-04 1.451716450176216755e+00 7.411625140945411749e-02 2.678780762162858764e+00 2.478800465016718912e-01
1.000000000000000021e-03 4.575533334640727645e+00 3.180320050745246152e-01 2.307254627265567493e+01 5.184842811500934623e+00
1.000000000000000021e-02 4.447153993770685787e+01 3.125506716288028120e+00 3.891014081293430991e+02 6.019854537372818726e+00
1.000000000000000056e-01 3.555351342749760875e+02 2.489992762650408054e+01 1.580428013136393702e+03 1.244878590830742127e+02
