# n_trials=40
# noise weak_t0 weak_t1 weak_t2 weak_t3 weak_t4 weak_t5 weak_t6 weak_t7 weak_t8 weak_t9 weak_t10 weak_t11 weak_t12 weak_t13 weak_t14 weak_t15 weak_t16 weak_t17 weak_t18 weak_t19 weak_t20 weak_t21 weak_t22 weak_t23 weak_t24 weak_t25 weak_t26 weak_t27 weak_t28 weak_t29 weak_t30 weak_t31 weak_t32 weak_t33 weak_t34 weak_t35 weak_t36 weak_t37 weak_t38 weak_t39 strong_t0 strong_t1 strong_t2 strong_t3 strong_t4 strong_t5 strong_t6 strong_t7 strong_t8 strong_t9 strong_t10 strong_t11 strong_t12 strong_t13 strong_t14 strong_t15 strong_t16 strong_t17 strong_t18 strong_t19 strong_t20 strong_t21 strong_t22 strong_t23 strong_t24 strong_t25 strong_t26 strong_t27 strong_t28 strong_t29 strong_t30 strong_t31 strong_t32 strong_t33 strong_t34 strong_t35 strong_t36 strong_t37 strong_t38 strong_t39
1.000000000000000082e-05 6.593895045735412861e-06 5.816114684962584762e-06 6.230820768358797728e-06 6.184856305851061501e-06 8.275523849315892695e-06 7.375942613999365331e-06 8.070568577408156495e-06 7.021754737865672620e-06 6.436585468690307008e-06 6.598096234470123700e-06 7.191153400269509169e-06 1.122408459513525332e-05 8.581210399938644882e-06 6.398252602623301071e-06 8.910708367718970507e-06 6.753257270991614271e-06 8.315304961366939255e-06 6.655394707756903787e-06 6.956391162879042246e-06 6.645122511317660376e-06 6.815479037101587508e-06 7.912215179416382267e-06 5.480901417608405835e-06 5.842113902107835943e-06 5.850597620503424491e-06 6.338306766103041695e-06 6.585445880566394065e-06 5.166059480776006638e-06 5.708762829022113521e-06 5.549866457215059744e-06 5.253204429005830791e-06 5.572735015093650173e-06 5.889969618765474736e-06 6.664085013865541485e-06 6.139115345285461418e-06 4.956934432175831646e-06 7.135371468235533346e-06 6.516497165540699226e-06 6.047978917322847474e-06 7.997510314507866574e-06 1.291389469382082618e-04 1.293566806764900119e-04 1.299537904791092061e-04 1.269850688993667397e-04 1.259606416080465521e-04 1.321801354260226621e-04 1.268269249129864182e-04 1.293953772935093726e-04 1.285107386775378123e-04 1.284467835260627935e-04 1.263600430655444876e-04 1.264394047627990700e-04 1.321749074177082329e-04 1.278998186330620578e-04 1.251106552796132313e-04 1.279551290813395203e-04 1.267889717866970041e-04 1.298584300262172202e-04 1.289657908476268431e-04 1.281045141668017240e-04 1.276857415935589630e-04 1.288987618243209513e-04 1.292144114234956408e-04 1.300503495036985687e-04 1.316668532934427225e-04 1.297764638398915841e-04 1.263162281371670232e-04 1.302552642713901367e-04 1.301620059594100402e-04 1.289092502382469484e-04 1.304182100089072748e-04 1.299370422907084510e-04 1.305627063711172257e-04 1.287327033335520165e-04 1.288006985643755484e-04 1.291646818033938791e-04 1.273790348501056314e-04 1.298285753652523135e-04 1.311773211865209369e-04 1.285805894176083545e-04
1.000000000000000048e-04 3.664356941741637731e-05 4.191969645749769419e-05 7.428010178446146125e-05 4.848629969569733905e-05 2.743933077410210141e-05 5.537323320157237826e-05 4.637171499875700583e-05 3.650122975620094371e-05 4.233275378103287903e-05 3.819754888697582884e-05 3.427424212813941478e-05 4.573459589027828264e-05 3.031502848332572435e-05 3.838874317626822535e-05 3.274033082133197302e-05 4.273803844130380676e-05 2.080821196114389287e-05 1.979918879505509802e-05 5.417063392996227341e-05 5.221816855889524240e-05 4.374920404736076519e-05 5.928166612993262364e-05 1.659891733762592782e-05 3.154080119778501621e-05 2.942378605186506685e-05 5.694611360600567910e-05 3.844874161011911483e-05 4.057383476838843928e-05 4.054027849643799603e-05 3.808226465987404592e-05 7.053900245385612538e-05 2.125398255422755980e-05 4.046196416074256190e-05 3.527163646862498423e-05 5.142849202960419667e-05 9.055899262861070542e-05 5.817236567000958326e-05 4.822104622924253212e-05 2.721316736712773730e-05 4.678368456747735333e-05 1.230552396755558032e-04 1.389656501245159438e-04 1.510841396668550726e-04 1.535268892547114186e-04 1.298057577512466861e-04 1.161449387294525470e-04 1.211653956335155552e-04 1.499832964539367472e-04 1.235643275300803395e-04 1.508054067001128812e-04 1.247102283882021664e-04 1.225514681295121098e-04 1.251879524114579061e-04 1.201397723203307587e-04 1.414857251702887858e-04 1.338606068926999088e-04 1.201847372798194036e-04 1.463329124083255094e-04 1.153577043803109418e-04 1.285659611172807598e-04 1.498568705811697589e-04 1.314331022386460704e-04 1.299362112653094838e-04 1.040785065246753276e-04 1.366733227779889860e-04 1.320306299340429112e-04 1.447545771183851755e-04 1.216655513257634526e-04 1.289016395534373950e-04 1.352346104678286314e-04 1.666819288203487978e-04 1.146214296804902704e-04 1.382717490620327021e-04 1.156548746588636210e-04 1.128426925487911161e-04 1.552804220254269110e-04 1.370685476458551066e-04 1.176487064673739224e-04 1.411237777757734437e-04 9.974816031246999898e-05
1.000000000000000021e-03 5.111708360297817803e-04 1.965119969632785502e-04 3.141883201808813413e-04 2.569893902203857915e-04 4.061692495367077104e-04 4.146220580653412879e-04 4.827766843161470159e-04 7.699300928273060049e-04 2.229461140563164913e-04 5.183331059699420760e-04 2.638603104855635133e-04 3.611603118821370508e-04 2.255727178353306205e-04 2.966803128939324015e-04 4.117235292694980896e-04 4.072327479229830341e-04 2.373561658157163370e-04 2.731286179562103771e-04 3.851637002497557485e-04 3.578095860620865041e-04 4.075041328896928956e-04 3.183536645941784158e-04 4.488254590216953551e-04 5.361316163319175977e-04 6.075724472154056749e-04 2.616525120483759442e-04 3.891769265543988817e-04 1.904142506359990394e-04 2.444495524223075952e-04 8.304343820607229141e-04 6.262732677255654573e-04 5.192471656561356433e-04 4.714905755788423736e-04 6.608001409685220276e-04 7.212019185682658120e-04 4.693498469607362269e-04 6.827716580851691348e-04 1.771106786048690107e-04 4.569816509659259331e-04 3.369372925135414275e-04 1.255505762288980712e-03 1.288781057216418146e-03 1.333771614160684854e-03 9.944731235434671815e-04 1.447572353433948175e-03 1.379235228291620340e-03 1.466621284144111869e-03 1.664214322145203323e-03 1.177981716751003421e-03 7.627270763963935963e-04 9.871496422267644899e-04 1.243925002070475410e-03 1.034161423632159538e-03 1.267626641454075616e-03 8.389735183498632683e-04 1.388654124860562878e-03 1.089107906114553147e-03 8.503064941121235044e-04 1.302514549117390506e-03 9.696781491647514821e-04 1.350792009980302357e-03 1.211511867256592247e-03 1.295364629152739042e-03 1.206673942304762985e-03 1.511715007196810486e-03 1.173438656909758532e-03 1.354657913640410069e-03 9.652466213372449004e-04 1.370828637218299761e-03 1.444261933975597018e-03 9.720734908633580458e-04 1.530731188684956133e-03 1.016608163697684756e-03 9.123695487035971040e-04 1.450532516106817910e-03 1.452020802884655508e-03 9.432886548550283023e-04 1.156040234732333069e-03 1.028382236857765383e-03 9.210298671885525958e-04
1.000000000000000021e-02 3.197331545627830115e-03 6.593893318732617533e-03 4.699345278334984138e-03 7.177538149266238059e-03 4.487813197879583597e-03 7.642666678383946456e-03 4.201372768252803480e-03 4.519389741816473224e-03 6.091260867149057671e-03 6.414773409495298263e-03 7.736026603427020171e-03 5.109153172702463400e-03 4.832962178500031271e-03 7.041151933203293120e-03 1.524811228390006088e-02 9.408707583172637445e-03 1.031662391129836362e-02 5.515604628881690986e-03 9.169500188194941101e-03 4.104321867520448891e-03 7.786334054859364237e-03 7.180562052423556524e-03 7.047483635479240630e-03 5.295058724276013352e-03 6.859501953095906504e-03 5.621220506471173717e-03 3.310297999756092822e-03 4.504251209839923130e-03 3.748226830902700712e-03 4.722572114623852478e-03 5.741175787818761887e-03 5.545505235414252380e-03 3.837394327850167635e-03 4.935605809317873162e-03 7.189811949967458808e-03 7.535313735264437957e-03 4.733615572796266192e-03 3.355470110719241221e-03 1.035396887343733273e-02 4.043587053841809012e-03 9.749324796008972116e-02 1.065666406866814520e-01 1.070100372928294713e-01 1.035860243392682095e-01 1.004548359192815737e-01 1.053812988562131681e-01 9.617524021271449397e-02 9.624999240487801255e-02 1.090504343695420653e-01 9.880415346561713386e-02 1.000792333677398421e-01 9.934041367034761316e-02 1.029896448704833573e-01 1.006708806827790043e-01 1.094972784808429522e-01 1.039208270875811857e-01 1.014553636270491693e-01 9.887665391469041554e-02 1.010763536863118206e-01 1.011545456844733237e-01 1.053485629163164461e-01 1.050975259305989840e-01 9.735268277150124772e-02 1.019882810293555042e-01 1.032591562427362664e-01 1.022820224656051241e-01 1.044886921999265139e-01 1.005493207472289569e-01 9.718846515454097890e-02 1.016661945679647600e-01 9.251958467630519434e-02 9.844449799974291926e-02 9.973070569467659685e-02 9.649148649189920324e-02 1.045309833628726426e-01 1.067219179394303247e-01 1.041379127465725390e-01 1.005646861764079164e-01 1.023212791626236795e-01 1.006375277107006000e-01
5.000000000000000278e-02 9.308108321383171124e-02 1.137051328599789357e-01 1.353494496729170382e-01 8.559438561722569616e-02 1.250791641619433125e-01 1.128355826570188875e-01 1.012380443276663933e-01 1.168900641843607091e-01 1.275333048371991018e-01 9.285663685063762218e-02 1.258526014771682022e-01 1.343982562692755400e-01 1.303579387407219903e-01 1.017203140827514229e-01 8.973290397977018440e-02 1.144136195952082380e-01 1.198524486508968506e-01 9.836519300447775505e-02 1.087011045572389145e-01 1.024982554617392960e-01 1.026449379736910222e-01 8.881397137515094353e-02 1.033710698039399245e-01 9.295432361586880576e-02 1.183490416712448534e-01 1.186381336687610394e-01 1.149740442018425818e-01 1.114767242676382164e-01 1.142448350003165136e-01 1.094606108394192978e-01 8.393329528786094840e-02 1.371325724805917967e-01 9.623056168373099462e-02 1.150809275544108640e-01 1.161330574995506210e-01 8.846754664499172083e-02 1.211235775907904960e-01 1.005251322890284293e-01 9.588858636506583655e-02 9.152840212399855624e-02 5.241852894070722080e-01 5.136029414787296465e-01 4.983140980985329982e-01 5.245834348303309858e-01 5.355066032751373273e-01 5.183570423413318418e-01 5.570809393607751847e-01 5.769664640610172590e-01 5.291865412546576941e-01 5.343810707247705905e-01 5.352402003592130475e-01 5.309554757807982694e-01 5.119020229628977736e-01 5.410699730653839579e-01 5.140100547845614098e-01 5.342180270077607762e-01 5.358545722179899329e-01 5.193339011120206017e-01 4.982655662657548556e-01 4.966479015283357112e-01 5.488683572763920493e-01 4.977309466552333750e-01 5.244565736029139780e-01 4.921342043024835022e-01 5.793389348983953857e-01 5.494847706462658854e-01 5.361346940588906929e-01 5.164241460642469139e-01 5.387041339754803371e-01 5.270728488724468752e-01 5.618461358062083466e-01 5.679610289628541642e-01 5.252416386236210544e-01 5.572110385944467614e-01 5.127932568322957074e-01 5.244681568361125867e-01 4.932275175991747140e-01 4.870325348120781439e-01 5.383922946574706270e-01 5.464159432423825180e-01
1.000000000000000056e-01 3.428472399437186291e-01 4.467673087336366256e-01 4.358629195642851895e-01 4.255619777271175130e-01 3.569234662356500776e-01 3.555516205780901440e-01 4.257621979543340651e-01 4.023331783497919867e-01 3.348064154597775732e-01 3.971214708085957779e-01 3.763109386651274368e-01 4.358213867906724492e-01 3.479274183027965539e-01 3.314605437902445884e-01 4.362318916602646035e-01 3.469213367342674492e-01 3.285199023573220356e-01 3.273190964468238873e-01 3.082656943260415061e-01 3.858777699738153988e-01 3.500106783513809994e-01 3.864784450068377564e-01 3.665971731134686218e-01 2.811033894793908416e-01 3.543231477918926675e-01 3.893447801182777779e-01 3.937744451499050613e-01 2.993449044784626811e-01 3.613502138206954872e-01 3.828986091727482055e-01 3.134390746945303063e-01 3.437587866888286436e-01 3.151062861893581535e-01 3.727819063900584262e-01 3.748048763347697765e-01 3.889144233255404370e-01 3.307317864087696568e-01 3.466319438857154434e-01 3.914909395775584833e-01 3.862226600180771463e-01 5.300788247756421656e-01 4.997027725084677852e-01 5.104050223258644881e-01 5.058723305410568472e-01 4.923975949798599094e-01 4.955471476154232890e-01 5.152596339513987322e-01 4.799266295403238902e-01 5.089925592209545435e-01 5.201968720830257853e-01 5.115948347560539400e-01 5.036259262322039243e-01 5.062332629252246363e-01 5.221967193562859766e-01 5.048794711178461458e-01 5.139145589382865253e-01 5.309044833816203290e-01 5.296152970834834273e-01 5.084159899191127430e-01 5.208945855126155822e-01 4.916074682030744381e-01 4.930356434600378090e-01 4.779701367220112185e-01 5.060223425901706484e-01 5.362892911995893463e-01 5.123420431922931506e-01 5.007939921679113171e-01 5.218122231794648513e-01 5.063910256216542782e-01 4.964193886104626419e-01 5.092870182433788528e-01 5.006834203986714193e-01 5.122648188941053560e-01 5.086279985900392653e-01 5.236739723019366854e-01 5.088473400149964299e-01 5.264583318421980351e-01 5.065283324704646928e-01 5.206300024310197561e-01 4.904455641316072811e-01
2.000000000000000111e-01 3.066926539690130182e-01 3.536804050509875230e-01 3.739270582717837965e-01 4.050530673504409429e-01 3.358066786985943186e-01 2.669798390658137399e-01 3.651818253490953792e-01 3.001951304883086480e-01 3.707080443835154560e-01 3.221414723770184008e-01 3.762415058137374424e-01 3.539188980730832990e-01 3.690200274556199034e-01 3.721429671545782303e-01 3.377917430100050855e-01 3.905700268068064696e-01 4.109040557460944543e-01 3.800686311220341507e-01 3.174794526433165620e-01 3.514874507405226778e-01 3.248754318814534026e-01 3.299069167930139823e-01 3.399943898739977155e-01 3.460573662516278071e-01 3.035174758019748009e-01 3.192515061783157138e-01 4.072757541718605157e-01 3.570160665987427429e-01 3.526545533452102310e-01 3.044879623374852629e-01 3.884201094077380789e-01 3.196437372778123120e-01 3.859204004078181649e-01 3.399203835943948593e-01 3.669492801471111454e-01 2.710672713199198669e-01 3.188119321185728383e-01 3.492740328911432268e-01 3.219192318842438727e-01 4.174340613069129069e-01 7.382358861983675524e-01 7.362170128935585645e-01 7.382515113506781246e-01 7.366017778790622250e-01 7.276502373818884983e-01 7.636892265321065798e-01 7.713699681132932806e-01 7.127590404428225668e-01 7.558973425334299945e-01 7.324675774994573452e-01 7.211765274632343514e-01 7.602084867436439408e-01 7.394553003800430346e-01 7.434341450875658897e-01 7.531579039737154035e-01 7.555041614216596590e-01 7.404805426739704544e-01 7.427196775704181242e-01 7.555167866232581630e-01 7.613363128228365362e-01 7.382585351990784694e-01 8.055539758333103428e-01 7.232676929765814444e-01 7.297226774802485494e-01 7.544476930511103685e-01 7.743077064049813663e-01 7.435165843601395652e-01 7.417364303245773671e-01 7.593921829904023424e-01 7.577897573469370984e-01 7.461207693595186541e-01 7.868219634740043489e-01 7.593270162725094252e-01 7.664329780642017420e-01 7.444408309693589798e-01 7.374724649575824520e-01 7.638707528894240761e-01 7.597790784784921314e-01 7.621209732948751592e-01 7.299809715572854740e-01
4.000000000000000222e-01 3.468756834957925084e-01 3.003920445886354429e-01 2.908245222111253137e-01 2.889026953467085379e-01 3.080952889992000232e-01 3.146679499901404720e-01 3.144413459251301224e-01 2.723532481243614023e-01 2.819076555448011834e-01 2.730862538591428135e-01 3.304027499853126049e-01 3.200383659589623453e-01 2.613934789072131504e-01 3.082677002558401602e-01 3.012061755564422461e-01 2.943340795619299177e-01 3.320493719240556474e-01 2.839306349125593765e-01 2.983238261557168980e-01 3.363364686647747348e-01 2.734387072182928313e-01 2.889390817790629118e-01 3.026565463839608339e-01 3.237448885226885120e-01 3.248132938361598665e-01 2.721508670150781795e-01 2.786599044998946950e-01 3.116450832669675486e-01 3.339500740994978401e-01 3.126922067268826932e-01 3.271229296401233499e-01 2.682883331840608121e-01 3.171348807270252812e-01 2.980531116418757565e-01 3.220946286719499341e-01 3.016690618043356698e-01 3.017016100455336969e-01 3.877900579783373769e-01 3.513438768074206298e-01 3.068877712672111180e-01 9.010751314241998156e-01 9.361621642688939815e-01 9.201858843487784601e-01 9.391864116081859448e-01 8.990755572836128806e-01 8.798176283078159576e-01 9.189371406260462560e-01 9.621246800227010176e-01 9.238952100994889394e-01 9.211563902354102940e-01 9.206894106824949908e-01 9.108431433766309704e-01 9.280001334674090607e-01 9.438855540751225348e-01 9.165346630559522145e-01 8.853476505317755541e-01 9.365954315509952277e-01 9.188565847276904952e-01 8.694585217270117683e-01 9.244961422811528440e-01 9.700878125173892919e-01 9.655131799675950033e-01 9.330919062502969208e-01 9.176032684609668477e-01 9.092958576629091016e-01 9.252051235718136146e-01 9.196842293744769137e-01 9.349631545124807985e-01 9.334020177645755423e-01 9.277459234244274100e-01 8.927919838197703184e-01 9.112592224930723406e-01 8.985482778409084048e-01 9.275256085547307627e-01 9.031384945683776921e-01 9.625061148136830891e-01 8.850273920560928209e-01 9.148934623576795433e-01 9.861554431499539586e-01 9.142003163395304721e-01
